ID,SI,VV,AR,SG
698,Sensing,Visual,Active,Global
699,Intuitive,Visual,Reflective,Global
700,Sensing,Verbal,Reflective,Global
701,Sensing,Visual,Reflective,Global
702,Intuitive,Verbal,Reflective,Global
703,Intuitive,Visual,Active,Sequential
704,Intuitive,Verbal,Reflective,Sequential
705,Sensing,Visual,Active,Global
706,Intuitive,Verbal,Reflective,Sequential
707,Sensing,Verbal,Active,Global
708,Intuitive,Visual,Active,Sequential
709,Intuitive,Verbal,Active,Sequential
710,Sensing,Verbal,Active,Sequential
711,Intuitive,Visual,Active,Global
712,Sensing,Verbal,Active,Global
713,Sensing,Verbal,Reflective,Global
714,Intuitive,Visual,Reflective,Sequential
715,Intuitive,Visual,Active,Global
716,Sensing,Verbal,Reflective,Global
717,Intuitive,Verbal,Reflective,Global
718,Intuitive,Verbal,Active,Sequential
719,Sensing,Verbal,Reflective,Global
720,Intuitive,Visual,Reflective,Sequential
721,Intuitive,Verbal,Active,Global
722,Sensing,Verbal,Reflective,Sequential
723,Intuitive,Verbal,Active,Sequential
724,Sensing,Verbal,Active,Sequential
725,Intuitive,Verbal,Reflective,Sequential
726,Intuitive,Visual,Active,Sequential
727,Sensing,Visual,Reflective,Global
728,Intuitive,Visual,Active,Sequential
729,Sensing,Verbal,Active,Global
730,Intuitive,Visual,Active,Sequential
731,Intuitive,Visual,Reflective,Sequential
732,Intuitive,Verbal,Active,Sequential
733,Sensing,Visual,Active,Global
734,Sensing,Visual,Active,Sequential
735,Intuitive,Visual,Active,Sequential
736,Intuitive,Visual,Reflective,Sequential
737,Intuitive,Verbal,Active,Global
738,Intuitive,Verbal,Reflective,Sequential
739,Sensing,Verbal,Active,Global
740,Sensing,Verbal,Reflective,Global
741,Intuitive,Visual,Reflective,Sequential
742,Sensing,Visual,Reflective,Global
743,Intuitive,Verbal,Active,Sequential
744,Intuitive,Verbal,Reflective,Sequential
745,Sensing,Verbal,Active,Global
746,Sensing,Visual,Reflective,Sequential
747,Sensing,Verbal,Active,Sequential
748,Sensing,Visual,Active,Sequential
749,Sensing,Visual,Reflective,Global
750,Sensing,Verbal,Reflective,Global
751,Intuitive,Verbal,Active,Global
752,Intuitive,Verbal,Active,Global
753,Sensing,Visual,Reflective,Sequential
754,Sensing,Verbal,Reflective,Global
755,Sensing,Visual,Active,Sequential
756,Intuitive,Visual,Reflective,Sequential
757,Sensing,Verbal,Active,Global
758,Sensing,Verbal,Reflective,Sequential
759,Sensing,Visual,Active,Sequential
760,Sensing,Verbal,Reflective,Global
761,Intuitive,Verbal,Active,Global
762,Sensing,Verbal,Reflective,Sequential
763,Intuitive,Verbal,Reflective,Sequential
764,Intuitive,Visual,Reflective,Global
765,Sensing,Visual,Active,Sequential
766,Intuitive,Verbal,Active,Global
767,Sensing,Verbal,Active,Global
768,Intuitive,Visual,Reflective,Global
769,Sensing,Visual,Reflective,Global
770,Intuitive,Verbal,Reflective,Sequential
771,Intuitive,Verbal,Active,Global
772,Intuitive,Verbal,Reflective,Sequential
773,Sensing,Visual,Reflective,Sequential
774,Sensing,Visual,Reflective,Sequential
775,Sensing,Visual,Active,Global
776,Intuitive,Verbal,Reflective,Sequential
777,Intuitive,Verbal,Active,Global
778,Intuitive,Visual,Active,Global
779,Intuitive,Visual,Reflective,Sequential
780,Intuitive,Visual,Reflective,Sequential
781,Sensing,Verbal,Reflective,Global
782,Intuitive,Verbal,Active,Global
783,Sensing,Verbal,Active,Sequential
784,Sensing,Visual,Reflective,Global
785,Intuitive,Visual,Reflective,Global
786,Intuitive,Verbal,Active,Global
787,Intuitive,Verbal,Reflective,Global
788,Sensing,Verbal,Active,Sequential
789,Sensing,Visual,Reflective,Global
790,Intuitive,Visual,Reflective,Sequential
791,Sensing,Visual,Reflective,Global
792,Intuitive,Visual,Reflective,Global
793,Intuitive,Visual,Reflective,Sequential
794,Sensing,Visual,Reflective,Sequential
795,Sensing,Verbal,Active,Global
796,Sensing,Visual,Reflective,Sequential
797,Intuitive,Visual,Reflective,Global
798,Sensing,Verbal,Active,Global
799,Intuitive,Verbal,Reflective,Global
800,Intuitive,Visual,Active,Sequential
801,Intuitive,Verbal,Reflective,Sequential
802,Sensing,Verbal,Reflective,Global
803,Intuitive,Visual,Active,Sequential
804,Sensing,Verbal,Reflective,Sequential
805,Sensing,Verbal,Reflective,Sequential
806,Sensing,Verbal,Active,Global
807,Intuitive,Visual,Active,Global
808,Sensing,Visual,Active,Global
809,Intuitive,Verbal,Reflective,Global
810,Intuitive,Verbal,Reflective,Sequential
811,Intuitive,Visual,Active,Global
812,Intuitive,Visual,Reflective,Global
813,Sensing,Verbal,Reflective,Sequential
814,Sensing,Verbal,Active,Global
815,Intuitive,Verbal,Reflective,Global
816,Intuitive,Verbal,Active,Sequential
817,Intuitive,Verbal,Active,Global
818,Intuitive,Visual,Reflective,Global
819,Intuitive,Verbal,Active,Sequential
820,Intuitive,Verbal,Reflective,Sequential
821,Intuitive,Verbal,Reflective,Global
822,Sensing,Verbal,Reflective,Global
823,Sensing,Verbal,Reflective,Global
824,Intuitive,Visual,Active,Sequential
825,Intuitive,Visual,Reflective,Global
826,Sensing,Visual,Active,Global
827,Intuitive,Visual,Reflective,Global
828,Sensing,Visual,Active,Sequential
829,Intuitive,Visual,Active,Global
830,Sensing,Verbal,Reflective,Sequential
831,Sensing,Verbal,Active,Global
832,Sensing,Verbal,Reflective,Sequential
833,Intuitive,Visual,Reflective,Sequential
834,Sensing,Verbal,Reflective,Global
835,Sensing,Visual,Active,Sequential
836,Sensing,Visual,Reflective,Sequential
837,Intuitive,Visual,Active,Global
838,Intuitive,Visual,Active,Global
839,Intuitive,Verbal,Active,Global
840,Intuitive,Visual,Active,Sequential
841,Sensing,Visual,Active,Sequential
842,Sensing,Visual,Reflective,Sequential
843,Intuitive,Verbal,Reflective,Sequential
844,Sensing,Verbal,Active,Sequential
845,Sensing,Verbal,Reflective,Sequential
846,Sensing,Visual,Reflective,Sequential
847,Intuitive,Verbal,Active,Sequential
848,Intuitive,Verbal,Reflective,Sequential
849,Intuitive,Visual,Reflective,Global
850,Intuitive,Verbal,Active,Sequential
851,Intuitive,Visual,Active,Sequential
852,Sensing,Verbal,Reflective,Sequential
853,Sensing,Verbal,Reflective,Sequential
854,Intuitive,Visual,Active,Global
855,Sensing,Verbal,Active,Global
856,Sensing,Verbal,Active,Sequential
857,Sensing,Visual,Active,Sequential
858,Sensing,Visual,Active,Sequential
859,Intuitive,Verbal,Reflective,Sequential
860,Sensing,Visual,Reflective,Global
861,Intuitive,Visual,Reflective,Sequential
862,Intuitive,Verbal,Reflective,Global
863,Intuitive,Visual,Active,Sequential
864,Sensing,Verbal,Reflective,Global
865,Sensing,Visual,Active,Global
866,Intuitive,Visual,Active,Sequential
867,Intuitive,Visual,Active,Sequential
868,Intuitive,Verbal,Reflective,Sequential
869,Sensing,Visual,Reflective,Global
870,Intuitive,Verbal,Active,Global
871,Intuitive,Verbal,Reflective,Global
872,Sensing,Verbal,Active,Global
873,Sensing,Visual,Active,Global
874,Intuitive,Visual,Active,Sequential
875,Sensing,Verbal,Active,Sequential
876,Intuitive,Visual,Active,Global
877,Intuitive,Verbal,Active,Sequential
878,Sensing,Verbal,Reflective,Global
879,Sensing,Verbal,Reflective,Sequential
880,Intuitive,Visual,Active,Sequential
881,Sensing,Verbal,Active,Global
882,Sensing,Visual,Active,Sequential
883,Sensing,Verbal,Reflective,Global
884,Intuitive,Visual,Active,Global
885,Intuitive,Verbal,Reflective,Global
886,Sensing,Verbal,Reflective,Global
887,Sensing,Verbal,Reflective,Sequential
888,Intuitive,Verbal,Active,Global
889,Intuitive,Visual,Active,Sequential
890,Intuitive,Visual,Active,Sequential
891,Sensing,Verbal,Active,Global
892,Intuitive,Verbal,Reflective,Sequential
893,Intuitive,Verbal,Active,Global
894,Intuitive,Visual,Reflective,Global
895,Sensing,Verbal,Active,Global
896,Intuitive,Verbal,Active,Global
897,Intuitive,Visual,Reflective,Sequential
898,Sensing,Verbal,Reflective,Global
899,Intuitive,Verbal,Reflective,Global
900,Sensing,Verbal,Reflective,Sequential
901,Sensing,Verbal,Reflective,Sequential
902,Intuitive,Verbal,Active,Global
903,Intuitive,Visual,Active,Sequential
904,Intuitive,Verbal,Reflective,Global
905,Sensing,Visual,Active,Global
906,Intuitive,Visual,Reflective,Sequential
907,Intuitive,Verbal,Active,Global
908,Intuitive,Verbal,Reflective,Sequential
909,Sensing,Verbal,Active,Global
910,Sensing,Verbal,Active,Global
911,Sensing,Visual,Reflective,Sequential
912,Sensing,Verbal,Active,Global
913,Sensing,Visual,Reflective,Global
914,Intuitive,Visual,Reflective,Global
915,Sensing,Verbal,Active,Global
916,Intuitive,Verbal,Active,Global
917,Intuitive,Visual,Reflective,Global
918,Sensing,Visual,Active,Sequential
919,Sensing,Visual,Active,Sequential
920,Intuitive,Visual,Active,Global
921,Sensing,Visual,Active,Global
922,Intuitive,Verbal,Active,Sequential
923,Sensing,Verbal,Active,Sequential
924,Intuitive,Visual,Reflective,Sequential
925,Intuitive,Visual,Active,Sequential
926,Intuitive,Verbal,Reflective,Global
927,Intuitive,Visual,Active,Global
928,Intuitive,Verbal,Reflective,Sequential
929,Intuitive,Verbal,Active,Sequential
930,Intuitive,Visual,Reflective,Sequential
931,Sensing,Visual,Reflective,Sequential
932,Sensing,Visual,Active,Global
933,Sensing,Visual,Reflective,Sequential
934,Intuitive,Verbal,Reflective,Sequential
935,Sensing,Verbal,Reflective,Global
936,Sensing,Verbal,Reflective,Global
937,Sensing,Verbal,Reflective,Sequential
938,Sensing,Verbal,Reflective,Sequential
939,Intuitive,Verbal,Reflective,Global
940,Sensing,Verbal,Reflective,Sequential
941,Intuitive,Verbal,Reflective,Sequential
942,Sensing,Verbal,Active,Global
943,Sensing,Verbal,Reflective,Global
944,Sensing,Visual,Reflective,Global
945,Intuitive,Verbal,Active,Sequential
946,Intuitive,Visual,Active,Sequential
947,Intuitive,Visual,Active,Sequential
948,Sensing,Visual,Active,Global
949,Sensing,Visual,Reflective,Global
950,Sensing,Visual,Reflective,Sequential
951,Sensing,Verbal,Reflective,Sequential
952,Sensing,Verbal,Reflective,Global
953,Sensing,Visual,Reflective,Sequential
954,Intuitive,Visual,Reflective,Global
955,Intuitive,Visual,Reflective,Global
956,Sensing,Verbal,Active,Global
957,Intuitive,Verbal,Reflective,Global
958,Sensing,Visual,Active,Sequential
959,Sensing,Visual,Active,Global
960,Sensing,Verbal,Reflective,Sequential
961,Intuitive,Verbal,Reflective,Sequential
962,Sensing,Visual,Reflective,Sequential
963,Sensing,Verbal,Reflective,Global
964,Sensing,Visual,Active,Global
965,Sensing,Verbal,Reflective,Sequential
966,Sensing,Verbal,Reflective,Sequential
967,Sensing,Verbal,Active,Global
968,Sensing,Verbal,Active,Global
969,Intuitive,Verbal,Active,Global
970,Sensing,Verbal,Active,Global
971,Sensing,Visual,Active,Sequential
972,Sensing,Verbal,Active,Global
973,Intuitive,Visual,Reflective,Global
974,Sensing,Verbal,Reflective,Sequential
975,Sensing,Visual,Reflective,Global
976,Sensing,Visual,Reflective,Sequential
977,Intuitive,Visual,Active,Sequential
978,Intuitive,Visual,Active,Global
979,Intuitive,Verbal,Reflective,Sequential
980,Sensing,Visual,Active,Global
981,Intuitive,Visual,Active,Global
982,Sensing,Verbal,Active,Sequential
983,Intuitive,Visual,Active,Sequential
984,Sensing,Verbal,Reflective,Sequential
985,Intuitive,Verbal,Reflective,Global
986,Sensing,Visual,Active,Global
987,Sensing,Verbal,Reflective,Global
988,Intuitive,Visual,Active,Global
989,Sensing,Visual,Reflective,Global
990,Intuitive,Verbal,Reflective,Global
991,Sensing,Visual,Reflective,Sequential
992,Intuitive,Visual,Reflective,Global
993,Sensing,Verbal,Reflective,Global
994,Sensing,Visual,Reflective,Sequential
995,Intuitive,Visual,Reflective,Sequential
996,Intuitive,Visual,Active,Global
997,Intuitive,Verbal,Reflective,Sequential
998,Intuitive,Visual,Reflective,Sequential
999,Intuitive,Visual,Reflective,Global
1000,Sensing,Verbal,Reflective,Global
1001,Intuitive,Visual,Active,Sequential
